id,url,coursename,price,priceunit,course_code,duration,start_date,end_date,slot_time,brandname,region
87,https://www.globalknowledge.com/us-en/course/181225/clcei-implementing-cisco-collaboration-cloud-and-edge-solutions-v11/,"CLCEI - Implementing Cisco Collaboration Cloud and Edge Solutions v1.1
Understand Cisco Expressway Series solutions and prepare for the 300-820 Implementing Cisco Collaboration Cloud and Edge Solutions exam.",4195.0,USD,GK# 100505,5 Days,"Oct 14 - 18, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
87,https://www.globalknowledge.com/us-en/course/181225/clcei-implementing-cisco-collaboration-cloud-and-edge-solutions-v11/,"CLCEI - Implementing Cisco Collaboration Cloud and Edge Solutions v1.1
Understand Cisco Expressway Series solutions and prepare for the 300-820 Implementing Cisco Collaboration Cloud and Edge Solutions exam.",4195.0,USD,GK# 100505,5 Days,"Aug 12 - 16, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
87,https://www.globalknowledge.com/us-en/course/181225/clcei-implementing-cisco-collaboration-cloud-and-edge-solutions-v11/,"CLCEI - Implementing Cisco Collaboration Cloud and Edge Solutions v1.1
Understand Cisco Expressway Series solutions and prepare for the 300-820 Implementing Cisco Collaboration Cloud and Edge Solutions exam.",4195.0,USD,GK# 100505,5 Days,"Oct 14 - 18, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
87,https://www.globalknowledge.com/us-en/course/181225/clcei-implementing-cisco-collaboration-cloud-and-edge-solutions-v11/,"CLCEI - Implementing Cisco Collaboration Cloud and Edge Solutions v1.1
Understand Cisco Expressway Series solutions and prepare for the 300-820 Implementing Cisco Collaboration Cloud and Edge Solutions exam.",4195.0,USD,GK# 100505,5 Days,"Feb 03 - 07, 2025",,8:30 AM - 4:30 PM EST,Global Knowledge,USA
88,https://www.globalknowledge.com/us-en/course/161389/sdaise-software-defined-access-ise-integration-for-policy-deployment-enforcement-v10/,"SDAISE - Software Defined Access & ISE Integration for Policy Deployment & Enforcement v1.0
Understand the role of ISE in a SD-Access solution.",3395.0,USD,GK# 5873,3 Days,"Aug 26 - 28, 2024",,10:00 AM - 6:00 PM EST,Global Knowledge,USA
88,https://www.globalknowledge.com/us-en/course/161389/sdaise-software-defined-access-ise-integration-for-policy-deployment-enforcement-v10/,"SDAISE - Software Defined Access & ISE Integration for Policy Deployment & Enforcement v1.0
Understand the role of ISE in a SD-Access solution.",3395.0,USD,GK# 5873,3 Days,"Aug 26 - 28, 2024",,10:00 AM - 6:00 PM EST,Global Knowledge,USA
88,https://www.globalknowledge.com/us-en/course/161389/sdaise-software-defined-access-ise-integration-for-policy-deployment-enforcement-v10/,"SDAISE - Software Defined Access & ISE Integration for Policy Deployment & Enforcement v1.0
Understand the role of ISE in a SD-Access solution.",3395.0,USD,GK# 5873,3 Days,"Oct 15 - 17, 2024",,10:00 AM - 6:00 PM EST,Global Knowledge,USA
88,https://www.globalknowledge.com/us-en/course/161389/sdaise-software-defined-access-ise-integration-for-policy-deployment-enforcement-v10/,"SDAISE - Software Defined Access & ISE Integration for Policy Deployment & Enforcement v1.0
Understand the role of ISE in a SD-Access solution.",3395.0,USD,GK# 5873,3 Days,"Dec 16 - 18, 2024",,ONLINE,Global Knowledge,USA
89,https://www.globalknowledge.com/us-en/course/188702/ccet-troubleshooting-cisco-contact-center-enterprise/,"CCET – Troubleshooting Cisco Contact Center Enterprise
This Troubleshooting Cisco Contact Center Enterprise course is focused on Day 2 support of a PCCE deployment by Tier 3 support personnel.",1795.0,USD,GK# 821342,2 Days,"Sep 12 - 13, 2024",,10:00 AM - 6:00 PM EST,Global Knowledge,USA
89,https://www.globalknowledge.com/us-en/course/188702/ccet-troubleshooting-cisco-contact-center-enterprise/,"CCET – Troubleshooting Cisco Contact Center Enterprise
This Troubleshooting Cisco Contact Center Enterprise course is focused on Day 2 support of a PCCE deployment by Tier 3 support personnel.",1795.0,USD,GK# 821342,2 Days,"Sep 12 - 13, 2024",,10:00 AM - 6:00 PM EST,Global Knowledge,USA
