id,url,coursename,price,priceunit,course_code,duration,start_date,end_date,slot_time,brandname,region
0,https://www.exitcertified.com/it-training/security/certified-ethical-hacker-v9-48899-detail.html,"Certified Ethical Hacker (CEHv12)
",3595,USD,"3617V
","5 days
","08:30
–
16:30 EDT
","Jul 22, 2024","Jul 26, 2024 (5 days)
",AWS,USA
0,https://www.exitcertified.com/it-training/security/certified-ethical-hacker-v9-48899-detail.html,"Certified Ethical Hacker (CEHv12)
",3595,USD,"3617V
","5 days
","11:30
–
19:30 EDT
","Aug 12, 2024","Aug 16, 2024 (5 days)
",AWS,USA
0,https://www.exitcertified.com/it-training/security/certified-ethical-hacker-v9-48899-detail.html,"Certified Ethical Hacker (CEHv12)
",3595,USD,"3617V
","5 days
","08:30
–
16:30 EDT
","Aug 19, 2024","Aug 23, 2024 (5 days)
",AWS,USA
1,https://www.exitcertified.com/it-training/ec-council/ethical-hacker/computer-hacking-forensic-investigator-33660-detail.html,"CHFI - Computer Hacking Forensic Investigator (EC-CHFI)
",3695,USD,"3401
","5 days
","08:30
–
16:30 EDT
","Sep 16, 2024","Sep 20, 2024 (5 days)
",AWS,USA
1,https://www.exitcertified.com/it-training/ec-council/ethical-hacker/computer-hacking-forensic-investigator-33660-detail.html,"CHFI - Computer Hacking Forensic Investigator (EC-CHFI)
",3695,USD,"3401
","5 days
","08:30
–
16:30 EST
","Nov 11, 2024","Nov 15, 2024 (5 days)
",AWS,USA
1,https://www.exitcertified.com/it-training/ec-council/ethical-hacker/computer-hacking-forensic-investigator-33660-detail.html,"CHFI - Computer Hacking Forensic Investigator (EC-CHFI)
",3695,USD,"3401
","5 days
","08:30
–
16:30 EST
","Jan 6, 2025","Jan 10, 2025 (5 days)
",AWS,USA
2,https://www.exitcertified.com/it-training/cisco/security/web-email-security/secure-email-appliance-3-1-66543-detail.html,"Securing Email with Cisco Email Security Appliance v3.1
",2750,USD,"SESA-NTO
","4 days
","10:00 AM
–
6:00 PM EDT
","Jul 29, 2024","Aug 1, 2024 (4 days)
",AWS,USA
2,https://www.exitcertified.com/it-training/cisco/security/web-email-security/secure-email-appliance-3-1-66543-detail.html,"Securing Email with Cisco Email Security Appliance v3.1
",2750,USD,"SESA-NTO
","4 days
","10:00 AM
–
6:00 PM EDT
","Sep 9, 2024","Sep 12, 2024 (4 days)
",AWS,USA
2,https://www.exitcertified.com/it-training/cisco/security/web-email-security/secure-email-appliance-3-1-66543-detail.html,"Securing Email with Cisco Email Security Appliance v3.1
",2750,USD,"SESA-NTO
","4 days
","10:00 AM
–
6:00 PM EDT
","Nov 11, 2024","Nov 14, 2024 (4 days)
",AWS,USA
